,admin2Name,Name (merged),ADM2_PCODE,lat,lon,,,,,,,
919,"Betulia, Santander",Betulia,CO68092,6.9,-73.28361111111111,,,,,,,
542,Bituima,Bituima,CO25095,4.874444444444445,-74.54055555555556,,,,,,,
230,Boavita,Boavita,CO15097,6.333333333333333,-72.58333333333333,,,,,,,
836,Bochalema,Bochalema,CO54099,7.666666666666667,-72.58333333333333,,,,,,,
543,Bojacá,Bojacá,CO25099,"
4.733611111111111",-74.34222222222222,,,,,,,
482,Bojayá,Bojayá,CO27099,6.523611111111111,-76.97444444444444,,,,,,,
412,"Bolívar, Cauca",Bolívar,CO19100,1.97083,-76.9694,,,,,,Bojacá,CO25099
920,"Bolívar, Santander",Bolívar,CO68101,5.9911111111111115,-73.77388888888889,,,,,,,
1075,"Bolívar, Valle del Cauca",Bolívar,CO76100,4.338611111111111,-76.18472222222222,,,,,,,
164,"Bosa, Bogotá","Bogotá, D.C.",CO11001,4.616944444444445,-74.19,,,,,,,
454,Bosconia,Bosconia,CO20060,9.97611,-73.8903,,,,,,,
231,"Boyacá, Boyacá",Boyacá,CO15104,5.454166666666667,-73.36194444444443,,,,,,,
186,Brazuelo de Papayal,Brazuelo de Payapal,NA,,,,,,,,,
29,"Briceño, Antioquia",Briceño,CO05107,7.111111111111111,-75.55,,,,,,,
232,"Briceño, Boyacá",Briceño,CO15106,5.7,-73.9333,,,,,,,
921,Bucaramanga,Bucaramanga,CO68001,7.133333333333334,-73,,,,,,,
837,Bucarasica,Bucarasica,CO54109,8.05,-72.86666666666666,,,,,,,
1076,"Buenaventura, Valle del Cauca",Buenaventura,CO76109,3.877222222222222,-77.02666666666667,,,,,,,
233,"Buenavista, Boyacá",Buenavista,CO15109,5.511388888888889,-73.94194444444445,,,,,,,
507,"Buenavista, Córdoba",Buenavista,CO23079,8.68333,-75.25,,,,,,,
887,"Buenavista, Quindío",Buenavista,CO63111,4.359722222222222,-75.73916666666666,,,,,,,
1000,"Buenavista, Sucre",Buenavista,CO70110,9.32222,-74.9772,,,,,,,
413,"Buenos Aires, Cauca",Buenos Aires,CO19110,2.9166666666666665,-76.66666666666667,,,,,,,
777,Buesaco,Buesaco,CO52110,1.3833333333333333,-77.16666666666667,,,,,,,
1077,"Buga, Valle del Cauca",Buga,NA,3.9,-76.3,,,,,,,
1078,Bugalagrande,Bugalagrande,CO76113,4.216666666666667,-76.16666666666667,,,,,,,
30,Buriticá,Buriticá,CO05113,6.75,-75.91666666666667,,,,,,,
234,Busbanzá,Busbanzá,CO15114,5.816666666666666,-72.86666666666666,,,,,,,
544,"Cabrera, Cundinamarca",Cabrera,CO25120,3.9780555555555557,-74.48583333333333,,,,,,,
922,"Cabrera, Santander",Cabrera,CO68121,6.593333333333333,-73.24777777777778,,,,,,,
744,Cabuyaro,Cabuyaro,CO50124,4.283333333333333,-72.78333333333333,,,,,,,
666,Cacahual,Cacahual,CO94886,7.58322,-75.46466,,,,,,,
31,"Cáceres, Antioquia",Cáceres,CO05120,7.666666666666667,-75.33333333333333,,,,,,,
545,"Cachipay, Cundinamarca",Cachipay,CO25123,4.730833333333334,-74.4375,,,,,,,
839,Cácota,Cácota,CO54125,7.266666666666667,-72.65,,,,,,,
32,Caicedo,Caicedo,CO05125,6.405,-75.98222222222222,,,,,,,
1079,Caicedonia,Caicedonia,CO76122,4.333333333333333,-75.83333333333333,,,,,,,
1001,"Caimito, Sucre",Caimito,CO70124,8.833333333333334,-75.16666666666667,,,,,,,
1031,"Cajamarca, Tolima",Cajamarca,CO73124,4.416666666666667,-75.5,,,,,,,
414,"Cajibio, Cauca",Cajibío,CO19130,2.6333333333333333,-76.63333333333334,,,,,,,
546,Cajicá,Cajicá,CO25126,4.916666666666667,-74.03333333333333,,,,,,,
187,"Calamar, Bolívar",Calamar,CO13140,10.25,-74.915833,,,,,,,
