OBJECTID *,Shape *,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area,,,,,,,,,,,,,,,,,,,,,,,,,
81,Polygon,Baranoa,CO08078,<Null>,<Null>,<Null>,Atlántico,CO08,Colombia,CO,1/1/18,4/16/20,<Null>,0.728224,0.010029,,,,,,,,,,,,,,,,,,,,,,,,,
82,Polygon,Baraya,CO41078,<Null>,<Null>,<Null>,Huila,CO41,Colombia,CO,1/1/18,4/16/20,<Null>,1.497902,0.063933,,,,,,,,,,,,,,,,,,,,,,,,,
83,Polygon,Barbacoas,CO52079,<Null>,<Null>,<Null>,Nariño,CO52,Colombia,CO,1/1/18,4/16/20,<Null>,3.699149,0.220963,,,,,,,,,,,,,,,,,,,,,,,,,
84,Polygon,Barbosa,CO05079,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.770018,0.016804,,,,,,,,,,,,,,,,,,,,,,,,,
85,Polygon,Barbosa,CO68077,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.270342,0.003811,,,,,,,,,,,,,,,,,,,,,,,,,
86,Polygon,Barichara,CO68079,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.561089,0.011223,,,,,,,,,,,,,,,,,,,,,,,,,
87,Polygon,Barranca de Upía,CO50110,Barranca de Upia,<Null>,<Null>,Meta,CO50,Colombia,CO,1/1/18,4/16/20,<Null>,1.312018,0.032894,,,,,,,,,,,,,,,,,,,,,,,,,
88,Polygon,Barrancabermeja,CO68081,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,2.73519,0.108591,,,,,,,,,,,,,,,,,,,,,,,,,
89,Polygon,Barrancas,CO44078,<Null>,<Null>,<Null>,La Guajira,CO44,Colombia,CO,1/1/18,4/16/20,<Null>,1.495357,0.066214,,,,,,,,,,,,,,,,,,,,,,,,,
90,Polygon,Barranco de Loba,CO13074,<Null>,<Null>,<Null>,Bolívar,CO13,Colombia,CO,1/1/18,4/16/20,<Null>,1.593199,0.035402,,,,,,,,,,,,,,,,,,,,,,,,,
91,Polygon,Barrancominas,CO94343,<Null>,<Null>,<Null>,Guainía,CO94,Colombia,CO,1/1/18,4/16/20,<Null>,6.825914,0.765256,,,,,,,,,,,,,,,,,,,,,,,,,
92,Polygon,Barranquilla,CO08001,<Null>,<Null>,<Null>,Atlántico,CO08,Colombia,CO,1/1/18,4/16/20,<Null>,0.814371,0.012753,,,,,,,,,,,,,,,,,,,,,,,,,
93,Polygon,Becerril,CO20045,<Null>,<Null>,<Null>,Cesar,CO20,Colombia,CO,1/1/18,4/16/20,<Null>,2.654547,0.100945,,,,,,,,,,,,,,,,,,,,,,,,,
94,Polygon,Belalcázar,CO17088,Belalcazar,<Null>,<Null>,Caldas,CO17,Colombia,CO,1/1/18,4/16/20,<Null>,0.595207,0.009234,,,,,,,,,,,,,,,,,,,,,,,,,
95,Polygon,Belén,CO15087,Belen,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.629349,0.013315,,,,,,,,,,,,,,,,,,,,,,,,,
96,Polygon,Belén,CO52083,Belen,<Null>,<Null>,Nariño,CO52,Colombia,CO,1/1/18,4/16/20,<Null>,0.373284,0.003392,,,,,,,,,,,,,,,,,,,,,,,,,
97,Polygon,Belén de los Andaquíes,CO18094,Belen de los Andaquies,<Null>,<Null>,Caquetá,CO18,Colombia,CO,1/1/18,4/16/20,<Null>,2.234657,0.096745,,,,,,,,,,,,,,,,,,,,,,,,,
98,Polygon,Belén de Umbría,CO66088,Belen de Umbria,<Null>,<Null>,Risaralda,CO66,Colombia,CO,1/1/18,4/16/20,<Null>,0.579566,0.014717,,,,,,,,,,,,,,,,,,,,,,,,,
99,Polygon,Bello,CO05088,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.614364,0.012068,,,,,,,,,,,,,,,,,,,,,,,,,
100,Polygon,Belmira,CO05086,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.173004,0.0242,,,,,,,,,,,,,,,,,,,,,,,,,
101,Polygon,Beltrán,CO25086,Beltran,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.909415,0.014413,,,,,,,,,,,,,,,,,,,,,,,,,
102,Polygon,Berbeo,CO15090,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.429174,0.004731,,,,,,,,,,,,,,,,,,,,,,,,,
103,Polygon,Betania,CO05091,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.692306,0.014721,,,,,,,,,,,,,,,,,,,,,,,,,
104,Polygon,Betéitiva,CO15092,Beteitiva,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.473818,0.008318,,,,,,,,,,,,,,,,,,,,,,,,,
105,Polygon,Betulia,CO05093,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.847676,0.021414,,,,,,,,,,,,,,,,,,,,,,,,,
106,Polygon,Betulia,CO68092,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,1.271818,0.035287,,,,,,,,,,,,,,,,,,,,,,,,,
107,Polygon,Bituima,CO25095,<Null>,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.490828,0.004976,,,,,,,,,,,,,,,,,,,,,,,,,
108,Polygon,Boavita,CO15097,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.659782,0.011868,,,,,,,,,,,,,,,,,,,,,,,,,
109,Polygon,Bochalema,CO54099,<Null>,<Null>,<Null>,Norte de Santander,CO54,Colombia,CO,1/1/18,4/16/20,<Null>,0.756585,0.013945,,,,,,,,,,,,,,,,,,,,,,,,,
110,Polygon,"Bogotá, D.C.",CO11001,"Bogota, D.C.",<Null>,<Null>,"Bogotá, D.C.",CO11,Colombia,CO,1/1/18,4/16/20,<Null>,3.760453,0.132208,,,,,,,,,,,,,,,,,,,,,,,,,
111,Polygon,Bojacá,CO25099,Bojaca,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.497917,0.00834,,,,,,,,,,,,,,,,,,,,,,,,,
112,Polygon,Bojayá,CO27099,Bojaya,<Null>,<Null>,Chocó,CO27,Colombia,CO,1/1/18,4/16/20,<Null>,3.933663,0.295981,,,,,,,,,,,,,,,,,,,,,,,,,
113,Polygon,Bolívar,CO19100,Bolivar,<Null>,<Null>,Cauca,CO19,Colombia,CO,1/1/18,4/16/20,<Null>,1.802787,0.064683,,,,,,,,,,,,,,,,,,,,,,,,,
114,Polygon,Bolívar,CO68101,Bolivar,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,4.357081,0.082516,,,,,,,,,,,,,,,,,,,,,,,,,
115,Polygon,Bolívar,CO76100,Bolivar,<Null>,<Null>,Valle del Cauca,CO76,Colombia,CO,1/1/18,4/16/20,<Null>,1.537212,0.060483,,,,,,,,,,,,,,,,,,,,,,,,,
116,Polygon,Bosconia,CO20060,<Null>,<Null>,<Null>,Cesar,CO20,Colombia,CO,1/1/18,4/16/20,<Null>,1.274771,0.048331,,,,,,,,,,,,,,,,,,,,,,,,,
117,Polygon,Boyacá,CO15104,Boyaca,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.325614,0.003918,,,,,,,,,,,,,,,,,,,,,,,,,
118,Polygon,Briceño,CO05107,Briceno,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.004472,0.030785,,,,,,,,,,,,,,,,,,,,,,,,,
119,Polygon,Briceño,CO15106,Briceno,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.484975,0.005273,,,,,,,,,,,,,,,,,,,,,,,,,
120,Polygon,Bucaramanga,CO68001,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.693489,0.012514,,,,,,,,,,,,,,,,,,,,,,,,,
121,Polygon,Bucarasica,CO54109,<Null>,<Null>,<Null>,Norte de Santander,CO54,Colombia,CO,1/1/18,4/16/20,<Null>,0.828136,0.022205,,,,,,,,,,,,,,,,,,,,,,,,,
122,Polygon,Buenaventura,CO76109,<Null>,<Null>,<Null>,Valle del Cauca,CO76,Colombia,CO,1/1/18,4/16/20,<Null>,6.618278,0.510778,,,,,,,,,,,,,,,,,,,,,,,,,
123,Polygon,Buenavista,CO15109,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.467781,0.008989,,,,,,,,,,,,,,,,,,,,,,,,,
124,Polygon,Buenavista,CO23079,<Null>,<Null>,<Null>,Córdoba,CO23,Colombia,CO,1/1/18,4/16/20,<Null>,1.888873,0.068473,,,,,,,,,,,,,,,,,,,,,,,,,
125,Polygon,Buenavista,CO63111,<Null>,<Null>,<Null>,Quindio,CO63,Colombia,CO,1/1/18,4/16/20,<Null>,0.25341,0.003131,,,,,,,,,,,,,,,,,,,,,,,,,
126,Polygon,Buenavista,CO70110,<Null>,<Null>,<Null>,Sucre,CO70,Colombia,CO,1/1/18,4/16/20,<Null>,0.88171,0.012054,,,,,,,,,,,,,,,,,,,,,,,,,
127,Polygon,Buenos Aires,CO19110,<Null>,<Null>,<Null>,Cauca,CO19,Colombia,CO,1/1/18,4/16/20,<Null>,1.632129,0.035318,,,,,,,,,,,,,,,,,,,,,,,,,
